T0002,F0002,E0088,E0005,E0006,E0092,E0116,E0113,E0114,E0119
T0013,F0015,E0079,E0076,E0177,E0178,E0175,E0176,E0030,E0031
T0014,F0020,E0096,E0097,E0130,E0012,E0133,E0013,E0134,E0131
T0003,F0003,E0009,E0007,E0091,E0074,E0104,E0105,E0102,E0103
T0011,F0012,E0001,E0089,E0002,E0087,E0111,E0112,E0110,E0115
T0022,F0022,E0025,E0026,E0048,E0047,E0147,E0146,E0143,E0144
T0012,F0010,E0094,E0095,E0010,E0011,E0132,E0137,E0138,E0135
T0001,F0001,E0018,E0019,E0083,E0084,E0124,E0125,E0128,E0129
T0020,F0018,E0068,E0065,E0154,E0159,E0157,E0158,E0024,E0021
T0010,F0011,E0014,E0015,E0085,E0086,E0120,E0121,E0126,E0127
T0019,F0017,E0061,E0062,E0169,E0170,E0151,E0152,E0036,E0037
T0008,F0009,E0052,E0053,E0146,E0026,E0147,E0029
T0009,F0008,E0066,E0069,E0140,E0141,E0144,E0145,E0022,E0027
T0017,F0014,E0008,E0075,E0072,E0108,E0109,E0106,E0107,E0041
T0006,F0006,E0063,E0064,E0167,E0164,E0165,E0168,E0038,E0039
T0018,F0016,E0082,E0080,E0163,E0160,E0161,E0166,E0032,E0033
T0007,F0007,E0067,E0100,E0150,E0155,E0156,E0153,E0020,E0023
T0015,F0013,E0003,E0004,E0093,E0090,E0117,E0118,E0182,E0101
T0004,F0004,E0073,E0078,E0173,E0174,E0171,E0172,E0042,E0040
T0005,F0005,E0077,E0081,E0179,E0180,E0181,E0162,E0034,E0035
T0016,F0019,E0070,E0071,E0142,E0143,E0148,E0028,E0149,E0025
